1.0000,70.8400,69.2345,6.3199,1.6055,0.2286
2.0000,61.1675,59.7603,5.7799,1.4072,0.4286
3.0000,51.9281,50.5594,5.2570,1.3687,0.4286
4.0000,41.9823,40.6597,4.8062,1.3225,0.4571
5.0000,33.4258,32.0895,4.4316,1.3363,0.4095
6.0000,31.0893,29.7678,4.4201,1.3215,0.4095
7.0000,31.1188,29.8489,4.5014,1.2699,0.5143
8.0000,31.7825,30.5097,4.4896,1.2728,0.4762
9.0000,29.5576,28.3269,4.3654,1.2307,0.5619
10.0000,29.6369,28.4528,4.3046,1.1842,0.5238
11.0000,29.8062,28.6035,4.3247,1.2027,0.5143
12.0000,29.0650,27.8866,4.2745,1.1784,0.5238
13.0000,27.9878,26.8169,4.2089,1.1709,0.5524
14.0000,27.9470,26.7479,4.1363,1.1992,0.5333
15.0000,27.6029,26.4509,4.1571,1.1520,0.5048
16.0000,27.8996,26.7397,4.1376,1.1599,0.5143
17.0000,26.4605,25.3129,4.1756,1.1476,0.6000
18.0000,25.6697,24.5837,3.9706,1.0860,0.5810
19.0000,27.0300,25.9516,4.1688,1.0784,0.5619
20.0000,26.3539,25.2291,3.9621,1.1248,0.5143
21.0000,25.6219,24.5567,3.9828,1.0652,0.5238
22.0000,24.4334,23.4176,3.8258,1.0158,0.6095
23.0000,22.1585,21.1250,3.7260,1.0334,0.6095
24.0000,23.2723,22.2578,3.6480,1.0145,0.5810
25.0000,21.2856,20.2875,3.7448,0.9981,0.6476
26.0000,23.5145,22.4755,3.7332,1.0390,0.5619
27.0000,21.1210,20.1418,3.7330,0.9791,0.6286
28.0000,22.1903,21.2283,3.5291,0.9620,0.5619
29.0000,20.4235,19.5407,3.5854,0.8827,0.6857
30.0000,19.6649,18.7771,3.4793,0.8878,0.6190
31.0000,19.8024,18.9086,3.4451,0.8937,0.6857
32.0000,17.6712,16.7999,3.2343,0.8713,0.6762
33.0000,17.2629,16.4522,3.2882,0.8107,0.7333
34.0000,16.0725,15.2354,3.0938,0.8372,0.6571
35.0000,17.1425,16.2644,3.3095,0.8780,0.6857
36.0000,17.3744,16.5750,3.2632,0.7994,0.7143
37.0000,16.6508,15.8358,3.1756,0.8150,0.6571
38.0000,16.1935,15.1991,3.0365,0.9943,0.6190
39.0000,13.2039,12.4269,2.7959,0.7769,0.6762
40.0000,12.8330,12.0857,2.7771,0.7473,0.7810
41.0000,12.2021,11.3915,2.6852,0.8106,0.6476
42.0000,13.4787,12.7209,2.8267,0.7577,0.6952
43.0000,12.5752,11.8727,2.7567,0.7025,0.7619
44.0000,19.9005,19.2059,3.3316,0.6946,0.7524
45.0000,15.3024,14.6447,3.0899,0.6578,0.8000
46.0000,13.7991,13.1646,2.8245,0.6346,0.7714
47.0000,13.0178,12.4238,2.8445,0.5940,0.7810
48.0000,11.6665,11.0830,2.5978,0.5835,0.7619
49.0000,11.0750,10.5071,2.5320,0.5679,0.8190
50.0000,9.7421,9.1368,2.3650,0.6053,0.8286
51.0000,9.6213,8.9904,2.2590,0.6309,0.7238
52.0000,9.4342,8.7938,2.3923,0.6404,0.7714
53.0000,8.7260,8.0775,2.2776,0.6485,0.7714
54.0000,8.9341,8.3037,2.3135,0.6304,0.7524
55.0000,8.4098,7.8826,2.1581,0.5271,0.8190
56.0000,7.4437,6.9882,2.1022,0.4554,0.8762
57.0000,8.7179,8.2731,2.1945,0.4448,0.9048
58.0000,7.1318,6.6220,2.0410,0.5098,0.8286
59.0000,8.4019,7.9329,2.2768,0.4690,0.8952
60.0000,9.5787,9.1146,2.3489,0.4641,0.8476
61.0000,8.0185,7.5385,2.1421,0.4800,0.8667
62.0000,7.0660,6.6356,2.0569,0.4304,0.8571
63.0000,6.2204,5.7631,1.9244,0.4573,0.8857
64.0000,6.2962,5.8874,1.8787,0.4087,0.8667
65.0000,5.9139,5.4207,1.7370,0.4932,0.8286
66.0000,6.4450,5.9306,1.8428,0.5144,0.7905
67.0000,6.1123,5.7201,1.8432,0.3921,0.8857
68.0000,6.1126,5.7081,1.8383,0.4045,0.8762
69.0000,4.9416,4.5483,1.6652,0.3932,0.8857
70.0000,4.8422,4.5083,1.6602,0.3338,0.9143
71.0000,5.1032,4.7443,1.6039,0.3589,0.9143
72.0000,4.6039,4.3006,1.6118,0.3033,0.9333
73.0000,4.7973,4.4445,1.4969,0.3528,0.9333
74.0000,4.8264,4.4996,1.5687,0.3268,0.8952
75.0000,4.2530,3.9382,1.5057,0.3148,0.9238
76.0000,3.9765,3.6856,1.4604,0.2910,0.9333
77.0000,4.0992,3.7471,1.5004,0.3520,0.8857
78.0000,3.9163,3.6006,1.5035,0.3157,0.9048
79.0000,4.0178,3.7090,1.4802,0.3088,0.9048
80.0000,4.2617,3.9615,1.4541,0.3002,0.9048
81.0000,3.8226,3.5562,1.4276,0.2664,0.9429
82.0000,3.4133,3.1348,1.3365,0.2785,0.9333
83.0000,4.0132,3.7002,1.4214,0.3131,0.9048
84.0000,2.9145,2.6354,1.2619,0.2790,0.9429
85.0000,3.5685,3.2415,1.3302,0.3271,0.9238
86.0000,2.7529,2.4125,1.2525,0.3404,0.8762
87.0000,3.6792,3.3712,1.3930,0.3080,0.9048
88.0000,3.7471,3.4238,1.3954,0.3233,0.8857
89.0000,3.2480,2.9563,1.3616,0.2917,0.9333
90.0000,3.1657,2.8403,1.2661,0.3254,0.8667
