1.0000,73.0612,71.4051,6.4733,1.6561,0.2190
2.0000,71.4469,69.8385,6.3557,1.6084,0.2190
3.0000,70.6473,69.0283,6.3135,1.6190,0.2571
4.0000,68.7176,67.1112,6.2012,1.6064,0.3238
5.0000,67.7508,66.1544,6.0625,1.5965,0.3619
6.0000,67.0490,65.4896,6.0766,1.5594,0.3524
7.0000,63.6917,62.1271,5.8846,1.5646,0.3238
8.0000,61.8461,60.2908,5.7843,1.5554,0.3619
9.0000,60.4175,58.8270,5.7356,1.5905,0.3238
10.0000,57.3191,55.7502,5.5232,1.5688,0.3524
11.0000,51.4316,49.8745,5.2610,1.5571,0.3143
12.0000,54.4484,52.9713,5.4923,1.4770,0.3905
13.0000,43.6402,42.0376,4.7703,1.6026,0.3143
14.0000,44.6581,43.1928,4.9572,1.4653,0.4476
15.0000,41.5642,40.0792,4.8634,1.4850,0.4000
16.0000,42.7102,41.1921,4.8925,1.5181,0.3810
17.0000,38.8301,37.2740,4.7278,1.5560,0.3429
18.0000,40.5906,39.0283,4.8939,1.5624,0.3810
19.0000,41.1688,39.6865,4.7599,1.4822,0.3524
20.0000,38.9789,37.4550,4.8801,1.5240,0.3714
21.0000,39.2697,37.7913,5.0302,1.4784,0.3524
22.0000,36.7767,35.2811,4.7010,1.4956,0.4190
23.0000,41.0981,39.6752,4.8570,1.4229,0.4381
24.0000,35.0384,33.5690,4.3885,1.4694,0.4286
25.0000,35.7978,34.3709,4.6283,1.4269,0.4762
26.0000,30.5979,29.1541,4.3198,1.4438,0.3333
27.0000,42.8563,41.4125,5.1418,1.4438,0.3619
28.0000,32.9603,31.5148,4.5910,1.4456,0.3429
29.0000,31.4800,30.0868,4.3304,1.3931,0.4190
30.0000,34.0590,32.6514,4.4556,1.4076,0.4571
31.0000,31.9421,30.4724,4.3624,1.4697,0.3143
32.0000,35.4410,34.0106,4.6454,1.4304,0.4381
33.0000,31.6208,30.2449,4.3170,1.3759,0.4000
34.0000,34.4972,33.1733,4.7550,1.3239,0.4571
35.0000,29.9941,28.6160,4.4138,1.3781,0.3810
36.0000,32.4365,31.1107,4.2874,1.3258,0.4667
37.0000,33.5063,32.1480,4.4026,1.3584,0.4476
38.0000,37.5992,36.2086,4.7327,1.3906,0.4095
39.0000,32.8699,31.4966,4.1519,1.3733,0.3810
40.0000,35.1927,33.8238,4.4222,1.3689,0.4476
41.0000,31.8858,30.5549,4.4773,1.3309,0.4286
42.0000,33.6914,32.3530,4.5327,1.3384,0.4190
43.0000,27.2743,25.9354,4.0048,1.3389,0.4000
44.0000,28.1632,26.8885,4.1016,1.2748,0.4857
45.0000,27.1200,25.7084,4.0919,1.4117,0.3619
46.0000,29.5298,28.2087,4.1902,1.3211,0.4190
47.0000,26.3626,25.0609,3.9020,1.3017,0.4190
48.0000,29.7962,28.4865,4.1195,1.3097,0.4952
49.0000,31.3741,30.0597,4.2210,1.3144,0.4857
50.0000,27.0801,25.8523,3.7697,1.2278,0.5048
51.0000,30.1923,28.9906,4.3372,1.2017,0.4857
52.0000,27.1856,25.7922,4.0335,1.3934,0.3905
53.0000,25.0775,23.7931,3.8604,1.2843,0.4762
54.0000,24.5430,23.2657,3.6480,1.2774,0.4476
55.0000,28.3360,27.0963,4.1160,1.2397,0.5238
56.0000,22.8492,21.5666,3.7028,1.2826,0.4857
57.0000,27.1195,25.8824,4.1410,1.2371,0.5048
58.0000,27.4363,26.2225,3.8963,1.2138,0.5143
59.0000,24.0887,22.8545,3.7981,1.2342,0.5333
60.0000,27.6376,26.3886,3.8951,1.2490,0.4667
61.0000,23.3964,22.1689,3.8247,1.2275,0.4571
62.0000,24.4676,23.3027,3.7441,1.1649,0.5619
63.0000,21.9744,20.7276,3.6753,1.2468,0.4667
64.0000,23.3788,22.1843,3.7506,1.1945,0.4857
65.0000,22.8753,21.6280,3.7658,1.2472,0.4476
66.0000,23.5462,22.3464,3.5296,1.1999,0.4476
67.0000,29.6353,28.4999,4.4303,1.1354,0.5714
68.0000,29.6536,28.5043,3.9296,1.1493,0.4571
69.0000,30.6287,29.4614,4.5110,1.1674,0.5429
70.0000,24.3454,23.1748,3.5096,1.1706,0.4762
71.0000,21.0424,19.8980,3.4428,1.1445,0.5619
72.0000,21.6631,20.5091,3.4980,1.1540,0.5619
73.0000,25.5310,24.4133,3.6550,1.1176,0.5238
74.0000,21.7884,20.6832,3.7008,1.1051,0.5048
75.0000,20.9756,19.7896,3.3331,1.1859,0.4762
76.0000,20.6906,19.5486,3.6259,1.1420,0.5429
77.0000,21.9206,20.7858,3.4239,1.1347,0.5143
78.0000,16.9831,15.8438,3.0937,1.1393,0.5143
79.0000,20.5284,19.2868,3.3664,1.2416,0.4286
80.0000,18.3644,17.2050,3.3382,1.1594,0.5524
81.0000,16.7184,15.5294,3.0646,1.1890,0.5048
82.0000,17.7990,16.6733,3.2418,1.1257,0.5714
83.0000,19.2347,18.1949,3.0827,1.0398,0.6000
84.0000,19.3921,18.3840,3.3454,1.0081,0.5905
85.0000,22.0166,20.8796,3.3239,1.1370,0.4952
86.0000,20.0193,18.8504,3.3586,1.1689,0.5333
87.0000,17.6953,16.6207,2.9205,1.0746,0.5810
88.0000,17.6815,16.6675,3.2505,1.0139,0.6095
89.0000,23.5072,22.4172,3.5818,1.0899,0.5619
90.0000,25.3831,24.3063,3.8314,1.0768,0.5810
91.0000,22.4280,21.3990,3.3822,1.0290,0.5810
92.0000,13.9397,12.9109,2.8515,1.0288,0.6095
93.0000,17.2576,16.3049,2.9965,0.9527,0.6286
